company,postContent,postUrl
PLD Space,"PLD Space + Follow 60,168 followers 2mo+@  jUltima llamada, estudiantes y graduados!  PLD Space Academy presenta AdAstra Early Talent Day, un evento en formato ...more  Show translation  >AdAstra  ARLY TALENT DAY  Tu futuro empieza aqui.  programa de practicas de  View event  AdAstra Early Talent Day  GO 103 14 reposts  Like © Comment Repost J Send  + Follow  © Un honor recibir hoy en casa al astronauta espafiol Pablo Alvarez Fernandez. Nos  po  a   [CONTINUED_FROM_SCROLL]  jUltima llamada, estudiantes y graduados!  PLD Space Academy presenta AdAstra Early Talent Day, un evento en formato live streaming transmitido desde nuestro Control de Misién que te permitiré  + Conocer los beneficios y caract Impacto.  + Saber més sobre nuestra cultura, visién y retos tecnolégicos.  + Descubrir roles y oportunidades de desarrollo profesional en ingenierfa, fabricacién y business.  jicas de nuestro Programa de Practicas de Alto  El evento tendré lugar el préximo 25 de marzo a las 17h00 y sera moderado por el divulgador y cientifico Javier Santaolalla Camino.  Contaremos ademés con la participacién de nuestro CEO, Ratil Torres, y parte del equipo de talento, ingenieria y negocio, que esté llevando a cabo los proyectos mas vanguardistas dentro de PLD Space.  iTu futuro empieza aqui!  Show translation  >AdAstra  ALY TALENT DAY  Tu futuro empieza aqui.",https://www.linkedin.com/posts/pld-space_%C3%BAltima-llamada-estudiantes-y-graduados-activity-7308438326825439232-6G8S?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"© Un honor recibir hoy en casa al astronauta espafiol Pablo Alvarez Fernandez. Nos hace mucha ilusién que la primera cdpsula espacial en la que se ha sentado antes de viajar al espacio sea en nuestra LINCE.  Sus palabras de carifio y 4nimo han resultado inspiradoras para todo nuestro equipo y le deseamos un futuro lleno de éxitos.  Pablo no ha venido solo, le han acompajiado a nuestras instalaciones, la ministra de ry of Science and Innovation of Spain, Diana Morant Ripoll el director de la Agencia Espacial Espafiola, Juan Carlos Cortés; y la directora de Ciencia de  la European Space Agency - ESA, Professor Carole Mundell, poniendo en valor que garantizar el acceso al espacio de Espafia y Europa es una misién de todos,  Toda la info de la vista aqui @r https://bit.ly/3FSIFI3  Show translation",https://www.linkedin.com/posts/pld-space_un-honor-recibir-hoy-en-casa-al-astronauta-activity-7306358547888377856-nLNt?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"Esta semana hemos recibido una visita del Ministry of Economy, Trade and Business. Nuestro equipo directivo ha presentado la propuesta de valor y la hoja de ruta de PLD Space a una delegacién de la Direccién General de Comercio Internacional e  Inversiones, encabezada por Alicia Varela Donoso.  Encantados de recibirles en nuestra sede central y del interés mostrado en conocer de primera mano el proceso de disefio, desarrollo y fabricacién de MIURA 5. Estamos muy agradecidos por todo el esfuerzo que realizan para las empresas espajiolas.  Show translation  €€O 360 2 comments - 15 reposts",https://www.linkedin.com/posts/pld-space_esta-semana-hemos-recibido-una-visita-del-activity-7306257053516206082-fomk?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"On International Women's Day, we celebrate the leadership of the women driving our company forward. Their talent, effort, and passion are key to our mission of providing complete and sustainable access to space, breaking the barriers of technology.  Together, we keep shaping the future!  En el Dia Internacional de la Mujer, celebramos el liderazgo de las mujeres que forman parte de PLD Space. Su talento, esfuerzo y pasién son clave en nuestra misién de ofrecer un acceso completo y sostenible al espacio, rompiendo las barreras dela tecnologia  iSeguimos transformando el futuro de la mano!  #InternationalWomensDay #DialnternacionalDeLaMujer  gikile 5 is ME Oop ge VEO  6 comments - 25 reposts",https://www.linkedin.com/posts/pld-space_internationalwomensday-diainternacionaldelamujer-activity-7304048271113490433-kQ_S?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"This is how we build MIURA 5 5°  At our state-of-the-art facility, we manufacture all metallic structures of our launch vehicle and its TEPREL-C family engines (including combustion chambers and ‘turbopumps). Where we combine proven industry technologies with years of heritage and cutting-edge processes like metal additive manufacturing and laser welding.  Robust end-to-end process management, with quality control integrated into each step, ensures that all engineering models reach our test benches in Teruel exactly as designed. There, we test and use the results to rapidly iterate and improve manufacturing until every subsystem is qualified.  This approach gives us the agility and flexibility to move confidently toward the first MIURA 5 test flight at CSG (CNES/ESA) in Kourou, French Guiana, delivering on our promise of reliability and performance.  €€@O 1,308 27 comments - 80 reposts  ® Like © Comment 1% Repost 7 Send  PLD Space + Follow",https://www.linkedin.com/posts/pld-space_this-is-how-we-build-miura-5-at-our-activity-7318164973275246592-5oR2?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"SPARK Program Update!  Last week we celebr ion with the aim of  MIURA 5 SPARK Matchmaking Session - 7 pages  PLDSPACE  MIURA 5 SPARK PROGRAM  ®Lpsenc®  Progress Update  €€O 195  Like Repost  © Comment  4 Send   [CONTINUED_FROM_SCROLL]  Last week we cel jon with the aim of facilitating partnering and cooperation between schools, research centers, commercial enti  and key partners  In total we hosted 31 global teams showcasing their competences and find potential partners and opportunities for joint project developments.  A special thank you goes out to all the guests who attended the event! Thank you for your active participation and enthusiasm!  #space #innovation #MIURAS  PLDSPACE  MIURA 5 SPARK PROGRAM  ®Lpsenc®  Progress Update    [CONTINUED_FROM_SCROLL]  e  > Last week PL celebrated S Matchmakini the aim of fa partnering é between cus and key parti   [CONTINUED_FROM_SCROLL]  > During the hosted 11 Support ¢ Project St around the   [CONTINUED_FROM_SCROLL]  { Do  VVEITEe VECO HileU te  following challengs  Providing connectiv areas, enabling emer response and enviro! monitoring.  Educating future er satellite design and c   [CONTINUED_FROM_SCROLL]  JF @ Prevent  extends operatio tracking  Developi  technol the effec on hume   [CONTINUED_FROM_SCROLL]  Up Next: Glo! Ticket Winners. by mid Apri  Wwww.spark-program.   [CONTINUED_FROM_SCROLL]  A special congratul SPARK members, pa supporting inst",https://www.linkedin.com/posts/pld-space_miura-5-spark-matchmaking-session-activity-7297552979623084033-Yew4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"SEV 195 2 comments - 2 reposts  ® Like © Comment 1% Repost 7 Send  PLD Space DM 60.168 followers 3mo+@ © © Ourrunning shoes are on fire!  Last Sunday, the PLD Space running team kicked off the season with the 29th International Half Marathon and the 10K Aguas de Alicante, participating in both the  410K and the 21K.  We congratulate all PLD Space runners for burning sole while representing key values  such as teamwork, effort and commitment,  5 comments 1 repost  ® Like © Comment 1% Repost 7 Send  PLD Space 60,168,",https://www.linkedin.com/posts/pld-space_perasperaadastra-runningonvalues-activity-7297206855200612353-Wm5f?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"5 comments 1 repost  ® Like © Comment 1% Repost 7 Send  PLD Space + Follow  €€0 623 6 comments - 12 reposts ® Like © Comment & Repost 7 Send PLD Space + Follow 60,168 fo  a",https://www.linkedin.com/posts/pld-space_miura-5-second-stage-fuel-tank-ready-to-freeze-activity-7292479829721931776-gxcN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"2mo+ @  © Sino pudiste conectarte al evento de presentacién de nuestro Programa de Practicas, puedes verlo completo aqui  Moderado por el cientifico y divulgador yconla participacién de nuestro CEO, , asi como diferentes miembros del equipo  de PLD Space, descubriras:  = Los beneficios y caracteristicas de nuestro Programa de Practicas de Alto Impacto para este verano 2025  = Nuestra cultura, vision y retos tecnolégicos = Las oportunidades de desarrollo profesional en ingenierfa, fabricacién y business.  + {No lo dudes! Tienes hasta el 1 de abril para presentar tu candidatura a nuestro Programa de Practicas aqui  iTu futuro empieza aqui! s°  Show translation",https://www.linkedin.com/posts/pld-space_si-no-pudiste-conectarte-al-evento-de-activity-7310968267282513921-dGR-?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,PLD Space  68  iUnete al Equipo de PLD Space!  Buscamos incorporar ingenieros civiles expertos en instalaciones y estructuras para  seguir construyendo el presente y futuro de nuestra factoria de lanzadores espaciales e instalaciones de ensayos:  >Ingeniero de Obra Civil (Instalaciones)  > Ingeniero de Obra Civil (Estructuras)  iUnete a un equipo de ingenieros multidisciplinar que ambiciona construir las  infraestructuras privadas de desarrollo de tecnologias aeroespaciales mas avanzadas de Europa!  Show translation  PLOSPACE PLDSPACE  INGENIERO/A INGENIERO/A OBRA CIVIL DE O8RA CIVIL  STRUCTUR? TALACIONES)  C20 4  10 reposts  ® Like © Comment & Repost 7 Send,https://www.linkedin.com/posts/pld-space_%C3%BAnete-al-equipo-de-pld-space-buscamos-activity-7288159728545779713-ae-x?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"Oo  EE # PLD Space operates cutting-edge facilities for design, production, testing, and launch to ensure the availability of our rockets on time, on cost, and with the highest quality.  4mo  At our state-of-the-art 12,500 m? PLD Space headquarters in Elche (Alicante), we bring to life both current and future innovations. Fully aligned with our vertical integration model, engineering and manufacturing collaborate seamlessly under one roof, driving rapid iteration and ensuring the highest standards of quality control in the development of our cutting-edge launch vehicles.  Boasting the capacity to produce 6 MIURA 5 rockets and 60 TEPREL-C engines annually, our factory blends cutting-edge technologies with the most trusted industry techniques, offering a comprehensive production process that ensures the highest levels of scalability and reliability.  Our main facility, with capacity for 400+ employees, is designed to inspire innovation and seamless communication through open, collaborative spaces.  With the combined efforts of our industrial partners, we've established this world-class infrastructure, setting new benchmarks of excellence.",https://www.linkedin.com/posts/pld-space_pld-space-operates-cutting-edge-facilities-activity-7285596340724649984-bNtk?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
